Symbol,Security,GICS Sector,Location,CIK
FE,FirstEnergy Corp,Utilities,"Akron, Ohio",1135152
FISV,Fiserv Inc,Information Technology,"Brookfield, Wisconsin",850209
FLT,FleetCor Technologies Inc,Information Technology,"Norcross, Georgia",37996
FLIR,FLIR Systems,Information Technology,"Wilsonville, Oregon",1659166
FLS,Flowserve Corporation,Industrials,"Irving, Texas",1519751
FLR,Fluor Corp.,Industrials,"Irving, Texas",38777
FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",831259
FL,Foot Locker Inc,Consumer Discretionary,"New York, New York",20520
F,Ford Motor,Consumer Discretionary,"Dearborn, Michigan",39911
FTNT,Fortinet,Information Technology,"Sunnyvale, California",1121788
FTV,Fortive Corp,Industrials,"Everett, Washington",40533
FBHS,Fortune Brands Home & Security,Industrials,"Deerfield, Illinois",40545
BEN,Franklin Resources,Financials,"San Mateo, California",895648
FCX,Freeport-McMoRan Inc.,Materials,"Phoenix, Arizona",40704
GPS,Gap Inc.,Consumer Discretionary,"San Francisco, California",1467858
GRMN,Garmin Ltd.,Consumer Discretionary,"Schaffhausen, Switzerland",40987
IT,Gartner Inc,Information Technology,"Stamford, Connecticut",882095
GD,General Dynamics,Industrials,"Falls Church, Virginia",1123360
GE,General Electric,Industrials,"Boston, Massachusetts",886982
GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota",42582
GM,General Motors,Consumer Discretionary,"Detroit, Michigan",277135
GPC,Genuine Parts,Consumer Discretionary,"Atlanta, Georgia",45012
GILD,Gilead Sciences,Health Care,"Foster City, California",1359841
GPN,Global Payments Inc.,Information Technology,"Atlanta, Georgia",793952
GS,Goldman Sachs Group,Financials,"New York, New York",800459
GT,Goodyear Tire & Rubber,Consumer Discretionary,"Akron, Ohio",202058
GWW,Grainger (W.W.) Inc.,Industrials,"Lake Forest, Illinois",874766
HAL,Halliburton Co.,Energy,"Houston, Texas",46080
HBI,Hanesbrands Inc,Consumer Discretionary,"Winston-Salem, North Carolina",860730
HOG,Harley-Davidson,Consumer Discretionary,"Milwaukee, Wisconsin",765880
HRS,Harris Corporation,Industrials,"Melbourne, Florida",46765
HIG,Hartford Financial Svc.Gp.,Financials,"Hartford, Connecticut",1000228
HAS,Hasbro Inc.,Consumer Discretionary,"Pawtucket, Rhode Island",4447
HCA,HCA Holdings,Health Care,"Nashville, Tennessee",1645590
HCP,HCP Inc.,Real Estate,"Long Beach, California",859737
HP,Helmerich & Payne,Energy,"Tulsa, Oklahoma",354950
HSIC,Henry Schein,Health Care,"Melville, New York",773840
HSY,The Hershey Company,Consumer Staples,"Hershey, Pennsylvania",48465
HES,Hess Corporation,Energy,"New York, New York",1070750
HPE,Hewlett Packard Enterprise,Information Technology,"Palo Alto, California",47217
HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia",49071
HFC,HollyFrontier Corp,Energy,"Dallas, Texas",49196
HOLX,Hologic,Health Care,"Marlborough, Massachusetts",874716
HD,Home Depot,Consumer Discretionary,"Atlanta, Georgia",49826
HON,Honeywell Int'l Inc.,Industrials,"Morristown, New Jersey",1110803
HRL,Hormel Foods Corp.,Consumer Staples,"Austin, Minnesota",1466258
HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland",50863
HPQ,HP Inc.,Information Technology,"Palo Alto, California",1571949
HUM,Humana Inc.,Health Care,"Louisville, Kentucky",51143
HBAN,Huntington Bancshares,Financials,"Columbus, Ohio",51434
HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia",51644
IDXX,IDEXX Laboratories,Health Care,"Westbrook, Maine",51253
INFO,IHS Markit Ltd.,Industrials,London,896878
ITW,Illinois Tool Works,Industrials,"Glenview, Illinois",1035267
ILMN,Illumina Inc,Health Care,"San Diego, California",914208
IR,Ingersoll-Rand PLC,Industrials,"Dublin, Ireland",1020569
INTC,Intel Corp.,Information Technology,"Santa Clara, California",728535
ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia",52988
IBM,International Business Machines,Information Technology,"Armonk, New York",91419
INCY,Incyte,Health Care,"Wilmington, Delaware",200406
IP,International Paper,Materials,"Memphis, Tennessee",833444
IPG,Interpublic Group,Communication Services,"New York, New York",19617
IFF,Intl Flavors & Fragrances,Materials,"New York, New York",1043604
INTU,Intuit,Information Technology,"Mountain View, California",54480
ISRG,Intuitive Surgical Inc.,Health Care,"Sunnyvale, California",55067
IVZ,Invesco Ltd.,Financials,"Atlanta, Georgia",91576
IPGP,IPG Photonics Corp.,Information Technology,"Oxford, Massachusetts",55785
IQV,IQVIA,Health Care,"Durham, North Carolina",879101
IRM,Iron Mountain Incorporated,Real Estate,"Boston, Massachusetts",1506307
JKHY,Jack Henry & Associates Inc,Information Technology,"Monett, Missouri",319201
JEC,Jacobs Engineering Group,Industrials,"Pasadena, California",885639
JBHT,J. B. Hunt Transport Services,Industrials,"Lowell, Arkansas",1545158
JEF,Jefferies Financial Group,Financials,"New York, New York",56873
